MES_ANO;CIDADE;ESPECIALIDADE;FATURAMENTO;POSICAO_ESPECIALIDADE;PERCENTUAL_FATURAMENTO_MENSAL;FATURAMENTO_ACUMULADO_MENSAL
jan/26;Fortaleza;Cardiologia;1100;1;65,5;1100
jan/26;Fortaleza;Clínico Geral;400;2;23,8;1500
jan/26;Fortaleza;Ortopedia;180;3;10,7;1680
fev/26;Fortaleza;Cardiologia;1100;1;67,5;1100
fev/26;Fortaleza;Clínico Geral;350;2;21,5;1450
fev/26;Fortaleza;Ortopedia;180;3;11;1630
mar/26;Fortaleza;Cardiologia;1610;1;80,9;1610
mar/26;Fortaleza;Clínico Geral;200;2;10,1;1810
mar/26;Fortaleza;Ortopedia;180;3;9;1990
abr/26;Fortaleza;Cardiologia;940;1;83,2;940
abr/26;Fortaleza;Ortopedia;190;2;16,8;1130
mai/26;Fortaleza;Cardiologia;970;1;70,3;970
mai/26;Fortaleza;Clínico Geral;220;2;15,9;1190
mai/26;Fortaleza;Ortopedia;190;3;13,8;1380
jun/26;Fortaleza;Cardiologia;990;1;81,8;990
jun/26;Fortaleza;Clínico Geral;220;2;18,2;1210
